FIPS,County,State,Republican,Democrat,Other Votes,Population
10001,Kent,DE,36991,33351,4387,181858
10003,New Castle,DE,85525,162919,14535,570713
10005,Sussex,DE,62611,39333,4162,237375
42001,Adams,PA,31423,14219,2348,103838
42003,Allegheny,PA,259480,367617,30092,1250536
42005,Armstrong,PA,23484,7178,1202,65560
42007,Beaver,PA,48167,32531,3764,168229
42009,Bedford,PA,19552,3645,478,47568
42011,Berks,PA,96626,78437,9022,428851
42013,Blair,PA,39135,13958,2248,122827
42015,Bradford,PA,18141,6369,1476,59968
42017,Bucks,PA,164361,167060,13621,646528
42019,Butler,PA,64431,28586,5034,193774
42021,Cambria,PA,42258,18867,2464,133478
42023,Cameron,PA,1589,531,90,4542
42025,Carbon,PA,18743,8936,1314,64753
42027,Centre,PA,35274,37088,4945,158163
42029,Chester,PA,116114,141682,15202,534415
42031,Clarion,PA,12576,4273,811,37239
42033,Clearfield,PA,24932,8200,1418,80551
42035,Clinton,PA,10022,4744,739,37444
42037,Columbia,PA,18004,8934,1568,64722
42039,Crawford,PA,24987,10971,1855,83938
42041,Cumberland,PA,69076,47085,7325,259479
42043,Dauphin,PA,60863,64706,6214,286402
42045,Delaware,PA,110667,177402,11267,576836
42047,Elk,PA,10025,3853,669,31000
42049,Erie,PA,60069,58112,6948,270892
42051,Fayette,PA,34590,17946,1563,128825
42053,Forest,PA,1684,626,110,6973
42055,Franklin,PA,49768,17465,3273,155945
42057,Fulton,PA,5694,912,216,14564
42059,Greene,PA,10849,4482,537,35953
42061,Huntington,PA,14494,4539,833,44087
42063,Indiana,PA,24888,11528,1706,83233
42065,Jefferson,PA,15192,3650,753,44501
42067,Juniata,PA,8273,1821,451,23508
42069,Lackawanna,PA,48384,51983,4037,215918
42071,Lancaster,PA,137914,91093,15825,552989
42073,Lawrence,PA,25428,14009,1639,86071
42075,Lebanon,PA,40525,18953,3025,143253
42077,Lehigh,PA,73690,81324,7719,374571
42079,Luzerne,PA,78688,52451,4762,325613
42081,Lycoming,PA,35627,13020,2484,114189
42083,McKean,PA,11635,4025,804,40430
42085,Mercer,PA,31544,18733,2562,110658
42087,Mifflin,PA,14094,3877,750,46134
42089,Monroe,PA,33386,33918,2704,168309
42091,Montgomery,PA,162731,256082,19839,856541
42093,Montour,PA,5288,2857,411,18145
42095,Northampton,PA,71736,66275,6558,312949
42097,Northumberland,PA,25427,9788,1692,91641
42099,Perry,PA,15616,4632,1123,45830
42101,Philadelphia,PA,108748,584025,16845,1603793
42103,Pike,PA,16061,9268,974,58546
42105,Potter,PA,6251,1302,311,16397
42107,Schuylkill,PA,44001,16770,2614,143056
42109,Snyder,PA,11725,4002,759,39734
42111,Somerset,PA,27379,7376,1318,74143
42113,Sullivan,PA,2291,750,111,5838
42115,Susquehanna,PA,12891,5123,1029,38434
42117,Tioga,PA,13614,3901,992,41053
42119,Union,PA,10622,6180,894,42681
42121,Venango,PA,16021,6309,1200,50462
42123,Warren,PA,12477,5145,984,38585
42125,Washington,PA,61386,36322,4559,209369
42127,Wayne,PA,16244,7008,766,51149
42129,Westmoreland,PA,116522,59669,7301,354672
42131,Wyoming,PA,8837,3811,614,26072
42133,York,PA,128528,68524,10977,456441
24001,Allegany,MD,21270,7875,1509,68108
24003,Anne Arundel,MD,122403,128419,19259,588270
24005,Baltimore,MD,149477,218412,22793,854554
24510,Baltimore City,MD,25205,202673,11524,585690
24009,Calvert,MD,26176,18225,3007,92789
24011,Caroline,MD,9368,4009,736,33292
24013,Carroll,MD,58215,26567,7066,172895
24015,Cecil,MD,28868,13650,2751,103724
24017,Charles,MD,25614,49341,3348,166621
24019,Dorchester,MD,8413,6245,567,32529
24021,Frederick,MD,59522,56522,9633,271710
24023,Garrett,MD,10776,2567,668,28807
24025,Harford,MD,77860,47077,8735,260922
24027,Howard,MD,47484,102597,12112,332316
24029,Kent,MD,4876,4575,570,19198
24031,Montgomery,MD,92704,357837,28332,1062065
24033,Prince George,MD,32811,344049,13525,967215
24035,Queen Anne,MD,16993,7973,1557,49876
24039,Somerset,MD,5341,4196,363,24615
24037,St. Mary,MD,28663,17534,3645,113777
24041,Talbot,MD,10724,8653,1176,37523
24043,Washington,MD,40998,21129,3864,154704
24045,Wicomico,MD,22198,18050,2299,103588
24047,Worcester,MD,17210,9753,1310,52465
34001,Atlantic,NJ,52690,60924,4427,274536
34003,Bergen,NJ,175529,231211,15473,955743
34005,Burlington,NJ,89272,121725,10286,461869
34007,Camden,NJ,72631,146717,9699,523498
34009,Cape May,NJ,28446,18750,2061,95262
34011,Cumberland,NJ,24453,27771,2107,154160
34013,Essex,NJ,63176,240837,8871,862768
34015,Gloucester,NJ,67544,66870,6840,302273
34017,Hudson,NJ,49043,163917,7582,724858
34019,Hunterdon,NJ,38712,28898,4050,128950
34021,Mercer,NJ,46193,104775,7090,387328
34023,Middlesex,NJ,122953,193044,12560,863202
34025,Monmouth,NJ,166723,137181,13846,643612
34027,Morris,NJ,126071,115249,12217,509288
34029,Ocean,NJ,179079,87150,10496,637235
34031,Passaic,NJ,72902,116759,6567,525054
34033,Salem,NJ,16381,11904,1568,64830
34035,Somerset,NJ,65505,85689,5898,345353
34037,Sussex,NJ,46658,24212,4288,144220
34039,Union,NJ,68114,147414,8042,575363
34041,Warren,NJ,29858,17281,2544,109637
36001,Albany,NY,47808,83071,8939,314851
36003,Allegany,NY,12525,4882,1285,46450
36005,Bronx,NY,37797,353646,8079,1472653
36007,Broome,NY,40943,39212,5917,198683
36009,Cattaraugus,NY,19692,9497,1972,77034
36011,Cayuga,NY,17384,13522,2266,76253
36013,Chautauqua,NY,31594,19091,3549,127657
36015,Chemung,NY,20097,13757,2265,84142
36017,Chenango,NY,11921,6775,1464,47220
36019,Clinton,NY,14449,15059,2597,79838
36021,Columbia,NY,13756,15284,1862,61560
36023,Cortland,NY,9900,8771,1573,46800
36025,Delaware,NY,11942,6627,1223,44311
36027,Dutchess,NY,61821,62285,6912,297021
36029,Erie,NY,188303,215456,19866,954231
36031,Essex,NY,7958,7762,1498,37374
36033,Franklin,NY,8221,7297,1434,47573
36035,Fulton,NY,13462,6496,1256,53333
36037,Genesee,NY,16915,7650,1867,58383
36039,Greene,NY,13073,7405,1572,47932
36041,Hamilton,NY,2064,949,212,5105
36043,Herkimer,NY,16699,8083,1473,60144
36045,Jefferson,NY,21763,13809,2664,116711
36047,Kings,NY,141044,640553,24008,2736119
36049,Lewis,NY,7400,3146,779,26587
36051,Livingston,NY,17290,10697,2044,61840
36053,Madison,NY,15936,11667,2461,68017
36055,Monroe,NY,136582,188592,22616,759430
36057,Montgomery,NY,11301,6595,1158,49527
36059,Nassau,NY,292025,332154,22943,1395767
36061,New York,NY,64930,579013,24997,1694250
36063,Niagara,NY,51961,35559,4882,212666
36065,Oneida,NY,51437,33743,5829,232113
36067,Onondaga,NY,83649,112337,12454,476523
36069,Ontario,NY,26029,22233,4265,112485
36071,Orange,NY,76645,68278,7098,401315
36073,Orleans,NY,10936,4470,974,40357
36075,Oswego,NY,27688,17095,3397,117528
36077,Otsego,NY,13308,10451,1909,58528
36079,Putnam,NY,27024,19366,2173,97678
36081,Queens,NY,149341,517220,19832,2405425
36083,Rensselaer,NY,33726,32717,5119,161124
36085,Richmond,NY,101437,74143,5380,495752
36087,Rockland,NY,60911,69342,4834,338337
36089,St. Lawrence,NY,19942,16488,2728,108501
36091,Saratoga,NY,54575,50913,8606,235502
36093,Schenectady,NY,28953,33747,4580,158052
36095,Schoharie,NY,8831,4240,979,29718
36097,Schuyler,NY,5050,3091,631,17894
36099,Seneca,NY,7236,5697,1047,33816
36101,Steuben,NY,26831,12526,2645,93571
36103,Suffolk,NY,350570,303951,26733,1525894
