FIPS,County,State,Republican,Democrat,
36115,Washington,NY,15941,11565,
36117,Wayne,NY,26204,17456,
36119,Westchester,NY,144731,312437,
36121,Wyoming,NY,13898,5073,
36123,Yates,NY,6208,4219,
51001,Accomack,VA,9172,7578,
51003,Albemarle,VA,20804,42466,
51005,Alleghany,VA,5859,2243,
51007,Amelia,VA,5390,2411,
51009,Amherst,VA,11041,5672,
51011,Appomattox,VA,6702,2418,
51013,Arlington,VA,22318,105344,
51015,Augusta,VA,30714,10840,
51017,Bath,VA,1834,646,
51019,Bedford,VA,35600,12176,
51021,Bland,VA,2903,532,
51023,Botetourt,VA,15099,5700,
51025,Brunswick,VA,3357,4552,
51027,Buchanan,VA,8311,1587,
51029,Buckingham,VA,4544,3471,
51031,Campbell,VA,21245,8070,
51033,Caroline,VA,8336,7657,
51035,Carroll,VA,12659,2842,
51036,Charles,VA,1761,2624,
51037,Charlotte,VA,3815,2317,
51041,Chesterfield,VA,93326,106935,
51043,Clarke,VA,5192,3920,
51045,Craig,VA,2536,587,
51047,Culpeper,VA,16012,10617,
51049,Cumberland,VA,3019,2227,
51051,Dickenson,VA,5748,1503,
51053,Dinwiddie,VA,8695,6224,
51057,Essex,VA,3075,3038,
51059,Fairfax,VA,168401,419943,
51061,Fauquier,VA,25106,17565,
51063,Floyd,VA,6225,3004,
51065,Fluvanna,VA,8155,7414,
51067,Franklin,VA,20895,8381,
51069,Frederick,VA,30558,17207,
51071,Giles,VA,6876,2156,
51073,Gloucester,VA,14875,6964,
51075,Goochland,VA,9966,6685,
51077,Grayson,VA,6529,1535,
51079,Greene,VA,6866,4163,
51081,Greensville,VA,1914,2627,
51083,Halifax,VA,10418,7666,
51085,Hanover,VA,44318,25307,
51087,Henrico,VA,63440,116572,
51089,Henry,VA,16725,9127,
51091,Highland,VA,1092,417,
51093,Isle of Wight,VA,13707,9399,
51095,James City,VA,23153,25553,
51097,King and Queen,VA,2450,1590,
51099,King George,VA,8446,5404,
51101,King William,VA,7320,3260,
51103,Lancaster,VA,3697,3368,
51105,Lee,VA,8365,1489,
51107,Loudon,VA,82088,138372,
51109,Louisa,VA,13294,8269,
51111,Lunenburg,VA,3537,2418,
51113,Madison,VA,5300,2698,
51115,Mathews,VA,3901,1825,
51117,Mecklenburg,VA,9266,6803,
51119,Middlesex,VA,4196,2491,
51121,Montgomery,VA,20629,23218,
51125,Nelson,VA,4812,4327,
51127,New Kent,VA,9631,4621,
51131,Northampton,VA,2955,3667,
51133,Northumberland,VA,4485,3252,
51135,Nottoway,VA,4027,2971,
51137,Orange,VA,12426,7995,
51139,Page,VA,9345,3007,
51141,Patrick,VA,7485,1954,
51143,Pittsylvania,VA,23751,10115,
51145,Powhatan,VA,14055,5320,
51147,Prince Edward,VA,4434,4973,
51149,Prince George,VA,10103,7103,
51153,Prince William,VA,81222,142863,
51155,Pulaski,VA,12127,4925,
51157,Rappahannock,VA,2812,2096,
51159,Richmond,VA,2547,1513,
51161,Roanoke,VA,34268,21801,
51163,Rockbridge,VA,8088,4086,
51165,Rockingham,VA,30349,12644,
51167,Russell,VA,10879,2373,
51169,Scott,VA,9063,1692,
51171,Shenandoah,VA,16463,6836,
51173,Smyth,VA,10963,3008,
51175,Southampton,VA,5730,3969,
51177,Spotsylvania,VA,39411,34307,
51179,Stafford,VA,37636,40245,
51181,Surry,VA,2025,2397,
51183,Sussex,VA,2219,2827,
51185,Tazewell,VA,16731,3205,
51187,Warren,VA,14069,6603,
51191,Washington,VA,21679,6617,
51193,Westmoreland,VA,5318,4501,
51195,Wise,VA,13366,3110,
51197,Wythe,VA,11733,3143,
51199,York,VA,20241,17683,
51510,Alexandria,VA,14544,66240,
51520,Bristol,VA,5347,2313,
51530,Buena Vista,VA,1863,825,
51540,Charlottesville,VA,3094,20696,
51550,Chesapeake,VA,58180,66377,
51570,Colonial Heights,VA,6007,2972,
51580,Covington,VA,1580,964,
51590,Danville,VA,7428,11710,
51595,Emporia,VA,754,1612,
51600,Fairfax,VA,4007,9174,
51610,Falls Church,VA,1490,7146,
51620,Franklin,VA,1487,2525,
51630,Fredericksburg,VA,4037,8517,
51640,Galax,VA,1838,777,
51650,Hampton,VA,18430,46220,
51660,Harrisonburg,VA,5591,11022,
51670,Hopewell,VA,4020,5430,
51678,Lexington,VA,906,1791,
51680,Lynchburg,VA,17097,18048,
51683,Manassas,VA,6256,10356,
51685,Manassas Park,VA,1979,3992,
51690,Martinsville,VA,2165,3766,
51700,Newport News,VA,26377,53099,
51710,Norfolk,VA,23443,64440,
51720,Norton,VA,1109,464,
51730,Petersburg,VA,1584,12389,
51735,Poquoson,VA,5605,2054,
51740,Portsmouth,VA,12755,30948,
51750,Radford,VA,2786,3358,
51760,Richmond,VA,16603,92175,
51770,Roanoke,VA,15607,26773,
51775,Salem,VA,7683,5148,
51790,Staunton,VA,37636,40245,
51800,Suffolk,VA,20082,28676,
51810,Virginia Beach,VA,105087,117393,
51820,Waynesboro ,VA,5507,4961,
51830,Williamsburg,VA,1963,4790,
51840,Winchester,VA,5221,6610,
9001,Fairfield,CT,169039,297505,
9003,Hartford,CT,159024,283368,
9005,Litchfield,CT,55601,50164,
9007,Middlesex,CT,40665,56848,
9009,New Haven,CT,169893,242630,
9011,New London,CT,57110,79459,
9013,Tolland,CT,34838,44151,
9015,Windham,CT,29141,26706,
54001,Barbour,WV,5116,1457,
54003,Berkeley,WV,33279,17186,
54005,Boone,WV,6816,2041,
54007,Braxton,WV,4120,1457,
54009,Brooke,WV,7545,2947,
54011,Cabell,WV,21721,14994,
54013,Calhoun,WV,2364,568,
54015,Clay,WV,2679,641,
54017,Doddridge,WV,2619,435,
